time,animal_id,x,y
1,312,405.29,417.76
1,511,369.99,428.78
1,607,390.33,405.89
1,811,445.15,411.94
1,905,366.06,451.76
2,312,405.31,417.37
2,511,370.01,428.82
2,607,390.25,405.89
2,811,445.48,412.26
2,905,365.86,451.76
3,312,405.31,417.07
3,511,370.01,428.85
3,607,390.17,405.88
3,811,445.77,412.61
3,905,365.7,451.76
4,312,405.3,416.86
4,511,370.01,428.86
4,607,390.07,405.88
4,811,446.03,413.0
4,905,365.57,451.76
5,312,405.29,416.71
5,511,369.99,428.86
5,607,389.98,405.87
5,811,446.24,413.42
5,905,365.47,451.76
6,312,405.27,416.61
6,511,369.98,428.84
6,607,389.88,405.87
6,811,446.42,413.86
6,905,365.39,451.76
7,312,405.27,416.54
7,511,369.97,428.82
7,607,389.79,405.87
7,811,446.54,414.34
7,905,365.35,451.76
8,312,405.27,416.49
8,511,369.97,428.8
8,607,389.7,405.88
8,811,446.62,414.85
8,905,365.33,451.76
9,312,405.31,416.37
9,511,369.98,428.82
9,607,389.68,405.9
9,811,446.63,415.42
9,905,365.34,451.76
10,312,405.38,416.27
10,511,370.08,428.81
10,607,389.62,405.93
10,811,446.55,415.92
10,905,365.36,451.81
11,312,405.46,416.13
11,511,370.19,428.77
11,607,389.56,405.95
11,811,446.47,416.5
11,905,365.4,451.81
12,312,405.54,415.93
12,511,370.3,428.72
12,607,389.51,405.96
12,811,446.34,417.09
12,905,365.46,451.79
13,312,405.63,415.84
13,511,370.36,428.65
13,607,389.43,405.97
13,811,446.24,417.78
13,905,365.47,451.74
14,312,405.68,415.72
14,511,370.45,428.57
14,607,389.4,406.01
14,811,446.06,418.37
14,905,365.47,451.68
15,312,405.75,415.51
15,511,370.56,428.54
15,607,389.43,406.02
15,811,445.92,418.97
15,905,365.46,451.6
16,312,405.84,415.35
16,511,370.68,428.47
16,607,389.51,405.99
16,811,445.9,419.64
16,905,365.44,451.52
17,312,405.93,415.18
17,511,370.79,428.38
17,607,389.56,405.97
17,811,445.9,420.31
17,905,365.41,451.43
18,312,406.02,415.02
18,511,370.88,428.28
18,607,389.62,405.85
18,811,445.86,420.78
18,905,365.32,451.34
19,312,406.09,414.9
19,511,370.94,428.18
19,607,389.68,405.72
19,811,445.82,421.34
19,905,365.26,451.26
20,312,406.09,414.74
20,511,370.97,428.09
20,607,389.74,405.58
20,811,445.84,421.84
20,905,365.22,451.2
21,312,406.17,414.62
21,511,371.04,427.94
21,607,389.8,405.44
21,811,445.81,422.25
21,905,365.31,451.15
22,312,406.28,414.5
22,511,371.08,427.86
22,607,389.91,405.42
22,811,445.75,422.69
22,905,365.39,451.13
23,312,406.45,414.36
23,511,371.11,427.81
23,607,389.98,405.34
23,811,445.6,423.07
23,905,365.44,451.13
24,312,406.58,414.26
24,511,371.16,427.73
24,607,390.03,405.25
24,811,445.38,423.32
24,905,365.5,451.18
25,312,406.69,414.14
25,511,371.18,427.67
25,607,390.05,405.16
25,811,445.15,423.67
25,905,365.57,451.18
26,312,406.75,414.01
26,511,371.23,427.62
26,607,390.04,405.08
26,811,444.86,424.02
26,905,365.64,451.18
