_temporary_index_column,time,animal_id,x,y,distance,average_speed,average_acceleration,direction,stopped
0,1,312,405.29,417.76,0.0,0.0,0.0,0.0,0
1,1,511,369.99,428.78,0.0,0.0,0.0,0.0,0
2,1,607,390.33,405.89,0.0,0.0,0.0,0.0,0
3,1,811,445.15,411.94,0.0,0.0,0.0,0.0,0
4,1,905,366.06,451.76,0.0,0.0,0.0,0.0,0
5,2,312,405.31,417.37,0.39051248379531817,0.0,0.0,-87.0643265535814,0
6,2,511,370.01,428.82,0.04472135955000596,0.0,0.0,63.434948822954574,0
7,2,607,390.25,405.89,0.07999999999998408,0.0,0.0,180.0,0
8,2,811,445.48,412.26,0.45967379738247277,0.0,0.0,44.1185960034137,0
9,2,905,365.86,451.76,0.19999999999998863,0.0,0.0,180.0,0
10,3,312,405.31,417.07,0.30000000000001137,0.0,0.0,-90.0,0
11,3,511,370.01,428.85,0.03000000000002956,0.0,0.0,90.0,0
12,3,607,390.17,405.88,0.08062257748296858,0.0,0.0,-172.87498365110324,0
13,3,811,445.77,412.61,0.45453272709453474,0.0,0.0,50.35582504286055,0
14,3,905,365.7,451.76,0.160000000000025,0.0,0.0,180.0,0
15,4,312,405.3,416.86,0.2102379604162655,0.0,0.0,-92.72631099390406,0
16,4,511,370.01,428.86,0.009999999999990905,0.0,0.0,90.0,0
17,4,607,390.07,405.88,0.10000000000002274,0.0,0.0,180.0,0
18,4,811,446.03,413.0,0.4687216658103022,0.0,0.0,56.309932474020215,0
19,4,905,365.57,451.76,0.12999999999999545,0.0,0.0,180.0,0
20,5,312,405.29,416.71,0.1503329637837625,0.0,0.0,-93.81407483428603,0
21,5,511,369.99,428.86,0.01999999999998181,0.0,0.0,180.0,0
22,5,607,389.98,405.87,0.0905538513813483,0.0,0.0,-173.65980825409406,0
23,5,811,446.24,413.42,0.46957427527498635,0.0,0.0,63.43494882291892,0
24,5,905,365.47,451.76,0.0999999999999659,0.0,0.0,180.0,0
25,6,312,405.27,416.61,0.10198039027182984,0.0,0.0,-101.30993247404527,0
26,6,511,369.98,428.84,0.022360679775028404,0.0,0.0,-116.56505117701285,0
27,6,607,389.88,405.87,0.10000000000002274,0.0,0.0,180.0,0
28,6,811,446.42,413.86,0.475394572960189,0.0,0.0,67.75097634278677,0
29,6,905,365.39,451.76,0.08000000000004093,0.0,0.0,180.0,0
30,7,312,405.27,416.54,0.06999999999999318,0.0,0.0,-90.0,0
31,7,511,369.97,428.82,0.02236067977497756,0.0,0.0,-116.56505117707799,0
32,7,607,389.79,405.87,0.08999999999997499,0.0,0.0,180.0,0
33,7,811,446.54,414.34,0.49477267507408285,0.0,0.0,75.96375653207193,0
34,7,905,365.35,451.76,0.03999999999996362,0.0,0.0,180.0,0
35,8,312,405.27,416.49,0.05000000000001137,0.0,0.0,-90.0,0
36,8,511,369.97,428.8,0.01999999999998181,0.0,0.0,-90.0,0
37,8,607,389.7,405.88,0.09055385138140479,0.0,0.0,173.65980825409804,0
38,8,811,446.62,414.85,0.516236379965657,0.0,0.0,81.0850730428547,0
39,8,905,365.33,451.76,0.020000000000038654,0.0,0.0,180.0,0
40,9,312,405.31,416.37,0.12649110640674596,0.0,0.0,-71.56505117706985,0
41,9,511,369.98,428.82,0.02236067977497756,0.0,0.0,63.43494882292201,0
42,9,607,389.68,405.9,0.028284271247436175,0.0,0.0,135.0,0
43,9,811,446.63,415.42,0.570087712549562,0.0,0.0,88.99491399474672,0
44,9,905,365.34,451.76,0.009999999999990905,0.0,0.0,0.0,0
45,10,312,405.38,416.27,0.12206555615735173,0.152162046083129,0.0,-55.007979801450084,1
46,10,511,370.08,428.81,0.10049875621117406,0.02923021550861476,0.0,-5.710593137496418,1
47,10,607,389.62,405.93,0.06708203932500893,0.07270965908181713,0.0,153.4349488229003,1
48,10,811,446.55,415.92,0.506359556046884,0.44153533621586705,0.0,99.09027692082054,1
49,10,905,365.36,451.81,0.053851648071369954,0.0793851648071379,0.0,68.19859051361449,1
50,11,312,405.46,416.13,0.16124515496595124,0.16828656157972413,0.0016124515496595132,-60.255118703060276,1
51,11,511,370.19,428.77,0.11704699910721605,0.040934915419336367,0.001170469991072161,-19.98310652190711,1
52,11,607,389.56,405.95,0.06324555320336399,0.07903421440215354,0.0006324555320336405,161.5650511770943,1
53,11,811,446.47,416.5,0.5854912467321599,0.5000844608890831,0.0058549124673216045,97.85331330197688,0
54,11,905,365.4,451.81,0.03999999999996362,0.08338516480713427,0.00039999999999963676,0.0,1
55,12,312,405.54,415.93,0.2154065922853848,0.15077597242873078,-0.001751058915099335,-68.19859051363696,1
56,12,511,370.3,428.72,0.12083045973593932,0.04854582543792971,0.0007610910018593341,-24.44395478039423,1
57,12,607,389.51,405.96,0.05099019513593721,0.07613323391574885,-0.0002900980486404692,168.69006752599233,1
58,12,811,446.34,417.09,0.6041522986797154,0.5145323110188074,0.001444785012972427,102.42594286543284,0
59,12,905,365.46,451.79,0.06324555320336399,0.06970972012747181,-0.001367544467966246,-18.434948822905728,1
60,13,312,405.63,415.84,0.12727922061358338,0.13350389449008798,-0.00172720779386428,-45.0000000000181,1
61,13,511,370.36,428.65,0.09219544457296833,0.054765369895223584,0.0006219544457293877,-49.39870535501469,1
62,13,607,389.43,405.97,0.08062257748297563,0.07613323391574955,7.077671781985372e-17,172.87498365106313,1
63,13,811,446.24,417.78,0.6972087205421272,0.5387999103635666,0.0024267599344759195,98.24632081446578,0
64,13,905,365.47,451.74,0.05099019513594836,0.058808739641064145,-0.0010900980486407668,-78.69006752592968,1
65,14,312,405.68,415.72,0.1299999999999561,0.12548009844845703,-0.0008023796041630949,-67.38013505194608,1
66,14,511,370.45,428.57,0.12041594578789369,0.06580696447401387,0.001104159457879028,-41.63353933657245,1
67,14,607,389.4,406.01,0.04999999999998864,0.07113323391574614,-0.0005000000000003419,126.86989764589613,1
68,14,811,446.06,418.37,0.6168468205316779,0.5536124258357041,0.0014812515472137576,106.96614810853593,0
69,14,905,365.47,451.68,0.060000000000002274,0.051808739641064826,-0.0006999999999999319,-90.0,1
70,15,312,405.75,415.51,0.22135943621181892,0.1325827456912627,0.0007102647242805654,-71.56505117708265,1
71,15,511,370.56,428.54,0.11401754250991977,0.07520871872500766,0.0009401754250993793,-15.255118703042747,1
72,15,607,389.43,406.02,0.03162277660170896,0.06524012643778221,-0.0005893107477963927,18.434948822889442,1
73,15,811,445.92,418.97,0.6161168720299935,0.5682666855112048,0.0014654259675500713,103.13402230639461,0
74,15,905,365.46,451.6,0.08062257748297563,0.049870997389365804,-0.0001937742251699022,-97.12501634893687,1
75,16,312,405.84,415.35,0.18357559750681818,0.14074226641476154,0.0008159520723498848,-60.64224645721066,1
76,16,511,370.68,428.47,0.13892443989449854,0.08686509473695467,0.001165637601194701,-30.25643716352589,1
77,16,607,389.51,405.99,0.08544003745315083,0.06378413018309502,-0.00014559962546871892,-20.55604521957008,1
78,16,811,445.9,419.64,0.670298440994716,0.5877570723146576,0.001949038680345272,91.70981404414493,0
79,16,905,365.44,451.52,0.0824621125123885,0.05011720864060056,2.4621125123475834e-05,-104.03624346790733,1
80,17,312,405.93,415.18,0.1923538406167424,0.15297765047643647,0.001223538406167493,-62.10272896904621,1
81,17,511,370.79,428.38,0.14212670403554967,0.09884169716301187,0.0011976602426057206,-39.28940686250681,1
82,17,607,389.56,405.97,0.05385164807134884,0.0601692949902324,-0.00036148351928626184,-21.80140948632935,1
83,17,811,445.9,420.31,0.6700000000000159,0.6052798048072509,0.0017522732492593284,90.0,0
84,17,905,365.41,451.43,0.09486832980501902,0.055604041621106104,0.0005486832980505542,-108.43494882291115,1
85,18,312,406.02,415.02,0.18357559750686775,0.1663352102271221,0.0013357559750685644,-60.64224645721936,1
86,18,511,370.88,428.28,0.13453624047073728,0.11029532121008742,0.0011453624047075548,-48.01278750419774,1
87,18,607,389.62,405.85,0.13416407864999247,0.06453031771709117,0.00043610227268587665,-63.43494882292201,1
88,18,811,445.86,420.78,0.47169905660279765,0.600826072470965,-0.0004453732336285876,94.86451443775644,0
89,18,905,365.32,451.34,0.12727922061362357,0.06633196368246459,0.0010727922061358488,-135.0,1
90,19,312,406.09,414.9,0.13892443989449854,0.16757854357589735,0.0001243333348775244,-59.74356283647411,1
91,19,511,370.94,428.18,0.11661903789687794,0.11972115702227745,0.0009425835812190031,-59.036243467916904,1
92,19,607,389.68,405.72,0.14317821063276037,0.07601971165562359,0.001148939393853242,-65.2248594311665,1
93,19,811,445.82,421.34,0.5614267539047317,0.5999599766064818,-8.660958644831628e-05,94.08561677997695,0
94,19,905,365.26,451.26,0.09999999999998863,0.07533196368246436,0.0008999999999999772,-126.86989764585053,1
95,20,312,406.09,414.74,0.15999999999996817,0.17137198796015898,0.00037934443842616293,-90.0,1
