time,animal_id,x,y,distance,average_speed,average_acceleration,direction
667,811,118.05,271.15,0,0,0,0
668,811,119.51,269.53,0,0,0,0
669,811,121.06,267.73,0,0,0,0
670,811,122.48,265.92,0,0,0,0
671,811,123.75,264.08,0,0,0,0
672,811,124.9,262.16,0,0,0,0
673,811,126.11,260.13,0,0,0,0
674,811,127.44,257.77,0,0,0,0
675,811,128.88,255.08,0,0,0,0
676,811,130.55,251.95,0,0,0,0
677,811,132.45,248.51,0,0,0,0
678,811,134.43,244.89,0,0,0,0
679,811,136.32,241.24,0,0,0,0
680,811,138.15,237.65,0,0,0,0
681,811,139.98,234.17,0,0,0,0
682,811,141.95,230.64,0,0,0,0
683,811,144.08,227.11,0,0,0,0
684,811,146.07,223.9,0,0,0,0
685,811,148.11,220.89,0,0,0,0
686,811,150.31,217.9,0,0,0,0
687,811,152.86,214.84,0,0,0,0
688,811,155.78,211.55,0,0,0,0
689,811,158.92,208.18,0,0,0,0
690,811,162.29,204.63,0,0,0,0
691,811,165.73,200.99,0,0,0,0
692,811,169.19,197.22,0,0,0,0
693,811,172.56,193.38,0,0,0,0
694,811,175.89,189.38,0,0,0,0
695,811,178.98,185.34,0,0,0,0
696,811,181.81,181.28,0,0,0,0
697,811,184.44,177.25,0,0,0,0
698,811,186.83,173.38,0,0,0,0
699,811,189.2,169.41,0,0,0,0
700,811,191.53,165.45,0,0,0,0
701,811,193.97,161.39,0,0,0,0
702,811,196.37,157.19,0,0,0,0
703,811,198.57,153.34,0,0,0,0
704,811,200.78,149.59,0,0,0,0
705,811,203.18,145.85,0,0,0,0
706,811,205.79,142.21,0,0,0,0
707,811,208.46,138.61,0,0,0,0
708,811,211.15,135.06,0,0,0,0
709,811,213.66,131.49,0,0,0,0
710,811,216.11,127.76,0,0,0,0
711,811,218.64,124.01,0,0,0,0
712,811,221.39,120.33,0,0,0,0
713,811,224.38,116.7,0,0,0,0
714,811,227.44,113.26,0,0,0,0
715,811,230.69,109.91,0,0,0,0
716,811,233.91,106.76,0,0,0,0
717,811,237.05,104.16,0,0,0,0
718,811,240.19,101.81,0,0,0,0
719,811,243.57,99.7,0,0,0,0
720,811,247.03,97.91,0,0,0,0
721,811,250.55,96.19,0,0,0,0
722,811,254.13,94.36,0,0,0,0
723,811,257.68,92.32,0,0,0,0
724,811,261.29,90.16,0,0,0,0
725,811,265.05,88.04,0,0,0,0
726,811,268.86,85.88,0,0,0,0
727,811,272.58,83.79,0,0,0,0
728,811,276.14,81.87,0,0,0,0
729,811,279.65,79.96,0,0,0,0
730,811,283.08,78.13,0,0,0,0
731,811,286.46,76.41,0,0,0,0
732,811,289.82,74.74,0,0,0,0
733,811,293.41,73.12,0,0,0,0
734,811,297.09,71.62,0,0,0,0
735,811,300.62,70.18,0,0,0,0
736,811,304.13,68.66,0,0,0,0
737,811,307.84,67.15,0,0,0,0
738,811,311.85,65.53,0,0,0,0
739,811,315.97,63.97,0,0,0,0
740,811,320.28,62.42,0,0,0,0
741,811,324.67,61.0,0,0,0,0
742,811,329.2,59.69,0,0,0,0
743,811,333.87,58.37,0,0,0,0
744,811,338.54,57.07,0,0,0,0
745,811,343.19,55.85,0,0,0,0
746,811,347.72,54.73,0,0,0,0
747,811,352.2,53.68,0,0,0,0
748,811,356.38,52.8,0,0,0,0
749,811,360.13,52.01,0,0,0,0
750,811,363.56,51.1,0,0,0,0
751,811,366.82,50.25,0,0,0,0
752,811,370.16,49.29,0,0,0,0
753,811,373.59,48.31,0,0,0,0
754,811,377.31,47.26,0,0,0,0
755,811,381.3,46.12,0,0,0,0
756,811,385.43,44.92,0,0,0,0
757,811,389.62,43.63,0,0,0,0
758,811,393.8,42.37,0,0,0,0
759,811,397.94,41.18,0,0,0,0
760,811,402.05,40.01,0,0,0,0
761,811,406.1,38.93,0,0,0,0
762,811,409.85,38.05,0,0,0,0
763,811,413.39,37.18,0,0,0,0
764,811,416.43,36.46,0,0,0,0
765,811,419.25,35.88,0,0,0,0
766,811,421.93,35.36,0,0,0,0
767,811,424.42,34.88,0,0,0,0
768,811,426.8,34.48,0,0,0,0
769,811,429.07,34.2,0,0,0,0
770,811,431.15,33.95,0,0,0,0
771,811,433.06,33.81,0,0,0,0
772,811,434.74,33.74,0,0,0,0
773,811,436.14,33.77,0,0,0,0
774,811,437.45,33.92,0,0,0,0
775,811,438.72,34.28,0,0,0,0
776,811,439.89,34.76,0,0,0,0
777,811,441.08,35.32,0,0,0,0
778,811,442.32,36.07,0,0,0,0
779,811,443.76,36.98,0,0,0,0
780,811,445.41,38.18,0,0,0,0
781,811,447.34,39.55,0,0,0,0
782,811,449.54,41.21,0,0,0,0
783,811,451.97,43.03,0,0,0,0
784,811,454.31,44.75,0,0,0,0
785,811,456.57,46.44,0,0,0,0
786,811,458.85,48.13,0,0,0,0
787,811,461.46,50.0,0,0,0,0
788,811,464.31,51.98,0,0,0,0
789,811,467.2,53.86,0,0,0,0
790,811,470.09,55.74,0,0,0,0
791,811,473.07,57.63,0,0,0,0
792,811,476.19,59.63,0,0,0,0
793,811,479.35,61.68,0,0,0,0
794,811,482.58,63.89,0,0,0,0
795,811,485.8,66.03,0,0,0,0
796,811,488.9,68.11,0,0,0,0
797,811,491.64,69.92,0,0,0,0
798,811,493.85,71.49,0,0,0,0
799,811,495.89,72.89,0,0,0,0
800,811,497.83,74.25,0,0,0,0
801,811,499.76,75.6,0,0,0,0
802,811,501.48,76.78,0,0,0,0
803,811,502.94,77.73,0,0,0,0
804,811,504.31,78.67,0,0,0,0
805,811,505.66,79.53,0,0,0,0
806,811,506.95,80.38,0,0,0,0
807,811,508.12,81.12,0,0,0,0
808,811,509.26,81.82,0,0,0,0
809,811,510.38,82.4,0,0,0,0
810,811,511.33,82.92,0,0,0,0
811,811,512.06,83.41,0,0,0,0
812,811,512.7,83.91,0,0,0,0
813,811,513.27,84.37,0,0,0,0
814,811,513.86,84.87,0,0,0,0
815,811,514.54,85.46,0,0,0,0
816,811,515.27,86.0,0,0,0,0
817,811,515.93,86.54,0,0,0,0
818,811,516.59,87.02,0,0,0,0
819,811,517.45,87.46,0,0,0,0
820,811,518.54,87.93,0,0,0,0
821,811,519.96,88.29,0,0,0,0
822,811,521.68,88.64,0,0,0,0
823,811,523.69,88.97,0,0,0,0
824,811,525.91,89.27,0,0,0,0
825,811,528.33,89.59,0,0,0,0
826,811,530.75,89.8,0,0,0,0
827,811,533.11,89.96,0,0,0,0
828,811,535.62,90.15,0,0,0,0
829,811,538.21,90.38,0,0,0,0
830,811,540.82,90.52,0,0,0,0
831,811,543.27,90.66,0,0,0,0
832,811,545.73,90.73,0,0,0,0
833,811,548.26,90.8,0,0,0,0
834,811,550.66,90.85,0,0,0,0
835,811,553.14,90.86,0,0,0,0
836,811,555.77,90.97,0,0,0,0
837,811,558.6,91.17,0,0,0,0
838,811,561.58,91.32,0,0,0,0
839,811,564.72,91.58,0,0,0,0
840,811,567.85,91.68,0,0,0,0
841,811,570.93,91.75,0,0,0,0
842,811,574.07,91.86,0,0,0,0
843,811,577.24,91.9,0,0,0,0
844,811,580.5,91.9,0,0,0,0
845,811,583.78,91.76,0,0,0,0
846,811,587.15,91.56,0,0,0,0
847,811,590.31,91.24,0,0,0,0
848,811,593.08,90.89,0,0,0,0
849,811,595.76,90.59,0,0,0,0
850,811,598.17,90.5,0,0,0,0
851,811,600.34,90.58,0,0,0,0
852,811,602.13,90.78,0,0,0,0
853,811,603.72,91.22,0,0,0,0
854,811,605.02,91.76,0,0,0,0
855,811,605.94,92.35,0,0,0,0
856,811,606.61,93.05,0,0,0,0
857,811,607.3,93.78,0,0,0,0
858,811,608.16,94.53,0,0,0,0
859,811,609.24,95.24,0,0,0,0
860,811,610.65,95.91,0,0,0,0
861,811,612.19,96.5,0,0,0,0
862,811,613.93,97.04,0,0,0,0
863,811,615.8,97.55,0,0,0,0
864,811,617.66,98.08,0,0,0,0
865,811,619.46,98.56,0,0,0,0
866,811,621.11,98.94,0,0,0,0
867,811,622.68,99.29,0,0,0,0
868,811,624.14,99.61,0,0,0,0
869,811,625.34,99.8,0,0,0,0
870,811,626.42,99.95,0,0,0,0
871,811,627.42,99.97,0,0,0,0
872,811,628.41,99.98,0,0,0,0
873,811,629.46,100.08,0,0,0,0
874,811,630.63,100.23,0,0,0,0
